learner,anchors,openmlid,slopes,is_nonmonotonic64,is_nonmonotonic256,is_nonmonotonic
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1399]",40975,"[-0.008543108949228455, 0.00019577218830985215, 0.0010442864790469917, 0.0012681482404628924, 0.000746788675875497, -6.081992385318331e-05, -4.017726782623146e-05, 0.00024266366376825136, 5.404567397908695e-05, 5.054893247798105e-05, -3.372575864961955e-05, -2.936190870764414e-05, -6.181818181818183e-06, 4.132330827067674e-05]",TRUE,TRUE,TRUE
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 558]",40981,"[-0.011429957742927797, -0.0037873139993016168, 0.0008197106934260214, 0.0016182467193667205, 0.0013627136007353493, 0.000508486803056417, 0.00024116200443940943, 2.740821615781974e-05, 5.975447666209808e-05, 9.623630014222762e-05, 5.7623948450053854e-05, -3.865587132837945e-05]",TRUE,TRUE,TRUE
sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,"[16, 23, 32, 40]",346,"[0.017922793997749112, 0.02051847630511497, 0.010318677768310964, 0.010318677768310964]",,,TRUE
sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 162]",446,"[0.006879392850883305, 0.008414176733230305, 0.0021517171915614824, -0.0014033492589522372, 0.001310495975567441, -0.0012904132675939472, 0.0002599837154027194, -0.00014411890270522542]",FALSE,,TRUE
sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]",715,"[0.0, 0.0, 0.0, 0.0008267750593148128, -5.085315044949806e-05, 0.0003504129712227632, 0.0006845711859861534, 0.0003869917012605605, 0.00042406844972173364, 0.0004430998159443214, 0.00023284729993927557, 0.00019218734260938161]",TRUE,TRUE,TRUE
sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]",723,"[0.0, 0.0, 0.0, 0.00035075855433034324, -0.0007308686472634537, 0.00025715878730034087, 0.0008271701755564946, 0.00035904025887159276, 0.0004803970413061356, 0.00019915183747983134, 0.00032061299057949523, 0.0001592520625648745]",TRUE,TRUE,TRUE
sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]",740,"[0.003396698823497766, 0.00120828952789101, 0.0007647744456324762, 0.002005746250373573, 0.00201248200780889, 0.0007962790601797465, 0.0007765531340180375, 0.0005923838112846646, 0.00018187893445939716, 0.00011972402563248826, -1.1770632514842995e-05, -3.815762273853376e-05]",TRUE,TRUE,TRUE
sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 828]",741,"[0.007497882707945625, -0.003621399504900056, -0.0015025902210318456, 0.0014013646265921365, 0.0003212440648282747, 0.0005980277622007024, -0.0006310339223953467, -0.0003341060142678022, -0.000516793123400199, -0.00012909516169781158, 0.00010029281379681597, -0.00013998113135673415]",TRUE,FALSE,TRUE
sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]",743,"[0.005891959338673076, 0.005568423491560758, 0.0044304687886375866, 0.001607103064065905, 0.000877036289989168, 0.0006109683843576524, 0.0011768521730013135, 0.00032034549306109525, 0.00022007039066364404, -0.00016879131252536535, 0.00011566313463989387, -4.589505157059173e-05]",TRUE,FALSE,TRUE
sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]",751,"[0.0032712772981550475, 0.0014117199396821455, 0.0006621009682420237, 0.003869979858006884, 0.0013178764152535884, 0.0008536871406191553, 0.0008242553054763347, -2.3923287707523422e-05, 0.00031069295610287596, 0.0001763753821562394, 0.0001267151884531074, 4.867799142149002e-05]",TRUE,TRUE,TRUE
sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]",845,"[0.0012310570508341618, 0.0002947435524594769, 0.0005156058941957632, 0.001591150646490112, 0.000718558514829675, 0.0007225542742576338, 0.00014466489880228767, 0.00026509924915892643, -4.126464639480664e-05, 2.064302392114859e-05, -6.73327615671625e-06, -2.1886576413191063e-05]",TRUE,FALSE,TRUE
sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]",849,"[0.0, 0.0, 0.0, 0.000123593555739656, -0.0008709898614015234, 0.00013743859308179131, 0.00018223647525805994, 0.00017569219576232993, 0.00016618969847374297, 0.00016204747198521053, 3.578236442202318e-06, 8.962051618036421e-05]",TRUE,TRUE,TRUE
sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]",910,"[0.0035906151942064553, 0.0005269319623636025, -0.0004342211221270478, 0.0022032672699179934, 0.0018708635248188036, 0.0009681251755088973, 0.0009182615604469888, 0.00013161349168435536, 0.0004944327619829969, 7.33703738987555e-05, 0.00024208520223059009, 4.852656239187812e-05]",TRUE,TRUE,TRUE
sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]",912,"[0.004665151551222529, 0.005710894983762474, 0.0032325132279866857, 0.0019580635666935956, 0.0009234409299141073, 0.000854761639023978, 0.0007448720955504958, 0.00017545174494672632, -3.26436585946183e-05, 1.5267705818901388e-07, -7.347380716896454e-05, 4.562500502221392e-05]",TRUE,FALSE,TRUE
sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]",917,"[0.0, 0.0, 0.0, 0.0011850942452092687, -0.002113007204992951, 0.0004039194310987385, 0.0004894441083732756, 0.00045198224560761007, 0.0004102392744379813, 0.00017811256985290707, 0.00032128227885023326, -1.719473070364615e-05]",TRUE,TRUE,TRUE
sklearn.linear_model.SGDClassifier,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 505]",11,"[0.001355835022272868, 0.0011166404302729543, 0.0009717955310017645, -0.0007342489092279507, -0.0006643766258125811, -0.00022937970279966532, 0.0003059169056232095, 4.617941676404917e-05, -0.00010043296328291654, 7.20107340467397e-05]",TRUE,FALSE,TRUE
